timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-08-11,2499.8999,2535.0000,2483.0000,2496.0500,2483.3855,697368,0.0000,1.0000
2017-08-10,2509.0000,2520.6001,2486.3501,2511.4500,2498.7070,763086,0.0000,1.0000
2017-08-09,2500.0000,2522.8501,2493.3000,2512.0000,2499.2544,496473,0.0000,1.0000
2017-08-08,2512.0000,2528.6001,2496.3000,2503.0500,2490.3499,536979,0.0000,1.0000
2017-08-07,2516.5000,2520.0000,2481.2000,2503.4500,2490.7478,942760,0.0000,1.0000
2017-08-04,2490.8000,2528.3000,2488.0000,2522.8000,2509.9998,693945,0.0000,1.0000
2017-08-03,2480.0000,2502.0000,2466.4500,2489.4500,2476.8188,941274,0.0000,1.0000
2017-08-02,2500.0000,2508.0000,2462.0000,2473.8000,2461.2483,625512,0.0000,1.0000
2017-08-01,2500.0000,2520.7500,2491.0000,2501.6499,2488.9568,873730,0.0000,1.0000
2017-07-31,2471.0000,2519.0000,2463.0000,2491.8000,2479.1570,1009831,0.0000,1.0000
2017-07-28,2481.0000,2493.0500,2442.0000,2484.3000,2471.6951,691376,0.0000,1.0000
2017-07-27,2542.2000,2584.8000,2466.5000,2481.7000,2469.1082,2127652,0.0000,1.0000
2017-07-26,2560.0000,2575.0000,2547.0000,2556.0000,2543.0313,729913,0.0000,1.0000
2017-07-25,2525.7500,2580.0000,2518.3999,2571.5000,2558.4526,1339416,0.0000,1.0000
2017-07-24,2482.0000,2540.0000,2482.0000,2530.7000,2517.8594,1135701,0.0000,1.0000
2017-07-21,2434.8999,2500.0000,2434.5500,2491.2000,2471.5955,1074208,0.0000,1.0000
2017-07-20,2449.2500,2456.8999,2430.5000,2444.7000,2425.4614,591252,0.0000,1.0000
2017-07-19,2415.5000,2460.0000,2415.1001,2449.6001,2430.3230,1957788,0.0000,1.0000
2017-07-18,2396.1499,2443.0000,2396.1499,2408.3501,2389.3977,954001,0.0000,1.0000
2017-07-17,2397.7000,2422.1001,2382.2000,2395.4500,2376.5989,1105911,0.0000,1.0000
2017-07-14,2383.0000,2425.0000,2375.0000,2397.4500,2378.5833,2254216,0.0000,1.0000
2017-07-13,2445.0000,2472.0000,2426.6001,2446.3999,2427.1479,1565980,0.0000,1.0000
2017-07-12,2482.5000,2483.3000,2430.1001,2439.4500,2420.2527,1323225,0.0000,1.0000
2017-07-11,2426.0000,2514.8000,2426.0000,2475.8000,2456.3167,1768752,0.0000,1.0000
2017-07-10,2406.0000,2444.8999,2378.9500,2434.9500,2415.7881,391804,0.0000,1.0000
2017-07-07,2350.0000,2356.4500,2325.5000,2331.9500,2313.5986,616045,0.0000,1.0000
2017-07-06,2359.0000,2361.8999,2340.1001,2347.5500,2329.0759,513394,0.0000,1.0000
2017-07-05,2360.8000,2365.0000,2345.0000,2356.0000,2337.4595,407928,0.0000,1.0000
2017-07-04,2373.3000,2380.4500,2350.0500,2366.8501,2348.2241,607567,0.0000,1.0000
2017-07-03,2357.3999,2383.0500,2343.1001,2373.6001,2354.9211,737978,0.0000,1.0000
2017-06-30,2324.3999,2377.0000,2323.1001,2362.3501,2343.7595,876924,0.0000,1.0000
2017-06-29,2359.0000,2372.0500,2323.1001,2333.2500,2314.8887,1235913,0.0000,1.0000
2017-06-28,2349.8999,2358.0000,2335.0000,2350.0500,2331.5566,894863,0.0000,1.0000
2017-06-27,2350.6001,2384.7000,2331.6001,2342.8501,2324.4128,987165,0.0000,1.0000
2017-06-23,2399.3999,2413.9500,2354.0000,2361.7000,2343.1145,712378,0.0000,1.0000
2017-06-22,2409.0000,2431.0000,2385.0000,2394.8501,2376.0039,2887941,0.0000,1.0000
2017-06-21,2440.0000,2442.1499,2397.2000,2406.3000,2387.3638,828909,0.0000,1.0000
2017-06-20,2431.0000,2449.0000,2380.3000,2445.0000,2425.7593,835479,0.0000,1.0000
2017-06-19,2416.8999,2446.3501,2405.1499,2431.7000,2412.5637,822371,0.0000,1.0000
2017-06-16,2414.9500,2435.0000,2386.5000,2399.7000,2380.8154,1225213,0.0000,1.0000
2017-06-15,2469.0000,2469.7000,2405.0000,2411.2000,2392.2251,1498599,0.0000,1.0000
2017-06-14,2455.0000,2476.0000,2455.0000,2470.2000,2450.7607,744571,0.0000,1.0000
2017-06-13,2465.0000,2481.1001,2447.0000,2451.5500,2432.2576,587707,0.0000,1.0000
2017-06-12,2497.0000,2512.8999,2470.3999,2487.2000,2440.3435,813253,0.0000,1.0000
2017-06-09,2520.0000,2547.3999,2486.0000,2507.0000,2459.7703,1574017,0.0000,1.0000
2017-06-08,2598.0000,2604.9500,2515.5000,2521.6001,2474.0955,1665357,0.0000,1.0000
2017-06-07,2697.0000,2700.0000,2576.5500,2615.2500,2565.9810,2463888,0.0000,1.0000
2017-06-06,2631.0000,2708.9500,2630.0000,2696.0000,2645.2097,2973360,0.0000,1.0000
2017-06-05,2565.0000,2619.8999,2560.1499,2603.9500,2554.8938,750094,0.0000,1.0000
2017-06-02,2556.2500,2591.8501,2552.5000,2564.8999,2516.5796,677824,0.0000,1.0000
2017-06-01,2530.0000,2564.0000,2530.0000,2553.6001,2505.4924,540032,0.0000,1.0000
